Wkrnr,Wahlkreisname,Bundesland,Einwohner,Migrationshintergrund Anteil,Verfügbares Einkommen PP im Monat,Wahlberechtigte Zweitstimmen,Wähler Zweitstimmen,Ungültige Zweitstimmen,Gültige Zweitstimmen,Sozialdemokratische Partei Deutschlands Zweitstimmen,DIE LINKE Zweitstimmen,BÜNDNIS 90 DIE GRÜNEN Zweitstimmen,Freie Demokratische Partei Zweitstimmen,Alternative für Deutschland Zweitstimmen,UNION Zweitstimmen
159,Dresden I,Sachsen,294.4,0.073,17638,232636,182849,1731,181118,19246,31004,13936,18610,41812,44104
160,Dresden II – Bautzen II,Sachsen,296.4,0.066,17797,235464,186818,1654,185164,17977,32040,16588,17684,43126,42792
161,Mittelsachsen,Sachsen,246.8,0.026,18604,201629,150648,1759,148889,14487,21582,4112,11767,46522,41189
162,Chemnitz,Sachsen,248.6,0.065,18611,195929,147218,1347,145871,17373,28010,6818,12184,35456,36270
163,Chemnitzer Umland – Erzgebirgskreis II,Sachsen,219.2,0.025,18445,183483,138891,1708,137183,14524,20972,3850,10542,36746,41947
164,Erzgebirgskreis I,Sachsen,267.5,0.018,18124,220917,166701,2730,163971,15452,23090,3661,12106,47952,50759
165,Zwickau,Sachsen,251.1,0.031,18656,207606,150950,2121,148829,16131,24665,4327,11253,38964,45106
166,Vogtlandkreis,Sachsen,232.3,0.035,18566,193081,142775,1914,140861,16043,22578,4266,10154,37217,42604
167,Waldeck,Hessen,235,0.159,21290,186825,142852,2119,140733,43446,9891,9660,13918,16411,42232
168,Kassel,Hessen,299.3,0.247,19633,222451,167855,2452,165403,46769,18677,18935,15046,17288,41736
169,Werra-Meißner – Hersfeld-Rotenburg,Hessen,221.9,0.14,19842,175992,133726,2659,131067,42737,8746,7843,11096,17173,38531
170,Schwalm-Eder,Hessen,237.4,0.147,20606,188074,145743,2691,143052,44847,9270,9436,13118,18504,41795
171,Marburg,Hessen,245.2,0.189,19718,183296,142365,1579,140786,37202,14420,13088,12191,16125,42377
172,Lahn-Dill,Hessen,275.4,0.222,21649,208744,155002,2201,152801,37794,10210,10768,14821,20931,51125
173,Gießen,Hessen,286.5,0.222,19880,217806,166621,2308,164313,39252,13798,15898,16926,20358,49518
